t_s,second_idx,send_fps,gen_buffer_s,gen_inflight,last_gen_ms,starvation_ms,rx_rate_mbps,net_loss_pct,one_way_ms,e2e_ms,queue_frames,queue_bytes,client_buffer_ms,trace_bw_mbps,trace_rtt_ms,send_drop_late_total,send_drop_late_window,net_drop_overflow_total,net_drop_late_total,decision_extra,fps,recv_rate_mbps,loss_pct,dropped_total,dropped_window
0.05,0,15.0,0.0,3,0,50,0.0,0.0,0.0,0.0,0,0,0.0,6.0,50.0,0,0,0,0,"{'mode': 'queue_guard', 'reason': 'no_feedback'}",15.0,0.0,0.0,0,0
1.05,1,15.0,0.0,3,854,0,1.2,0.0,25.0,221.16666666666666,0,0,25.0,6.0,50.0,9,9,0,0,"{'mode': 'queue_guard', 'reason': 'queue_low', 'queue_bytes': 37500, 'low': 200000, 'high': 800000}",15.0,1.2,0.0,9,9
2.05,2,15.0,0.888,3,487,0,3.4,0.0,25.0,160.76470588235293,0,0,8.0,6.0,50.0,9,0,0,0,"{'mode': 'queue_guard', 'reason': 'queue_low', 'queue_bytes': 0, 'low': 200000, 'high': 800000}",15.0,3.4,0.0,9,0
3.05,3,15.0,0.888,4,481,0,3.2,0.0,25.0,83.9375,0,0,8.0,6.0,50.0,24,15,0,0,"{'mode': 'queue_guard', 'reason': 'queue_low', 'queue_bytes': 0, 'low': 200000, 'high': 800000}",15.0,3.2,0.0,24,15
4.05,4,15.0,0.888,4,487,0,3.4,0.0,25.0,97.82352941176471,0,0,8.0,6.0,50.0,38,14,0,0,"{'mode': 'queue_guard', 'reason': 'queue_low', 'queue_bytes': 0, 'low': 200000, 'high': 800000}",15.0,3.4,0.0,38,14
5.05,5,15.0,0.888,4,481,0,3.4,0.0,25.0,117.23529411764706,1,18750,0.0,1.0,120.0,51,13,0,0,"{'mode': 'queue_guard', 'reason': 'queue_low', 'queue_bytes': 0, 'low': 200000, 'high': 800000}",15.0,3.4,0.0,51,13
6.05,6,15.0,0.888,3,472,0,1.0,0.0,60.0,604.4,11,268750,10.0,1.0,120.0,74,23,0,7,"{'mode': 'queue_guard', 'reason': 'queue_low', 'queue_bytes': 175000, 'low': 200000, 'high': 800000}",15.0,1.0,0.0,74,23
7.05,7,15.0,0.888,3,489,0,1.2,0.0,60.0,701.8333333333334,12,293750,10.0,1.0,120.0,84,10,0,21,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 300000, 'low': 200000, 'high': 800000}",15.0,1.2,0.0,84,10
8.05,8,15.0,0.888,3,474,0,1.0,16.666666666666664,60.0,657.6,13,318750,10.0,1.0,120.0,93,9,0,36,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 325000, 'low': 200000, 'high': 800000}",15.0,1.0,16.666666666666664,93,9
9.05,9,15.0,0.888,3,482,0,0.8,33.33333333333333,60.0,658.25,14,343750,10.0,1.0,120.0,101,8,0,52,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 350000, 'low': 200000, 'high': 800000}",15.0,0.8,33.33333333333333,101,8
10.05,10,15.0,0.888,3,486,0,1.0,16.666666666666664,60.0,711.4,15,356250,10.0,3.0,80.0,108,7,0,69,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 375000, 'low': 200000, 'high': 800000}",15.0,1.0,16.666666666666664,108,7
11.05,11,15.0,0.888,3,471,0,3.2,0.0,41.25,539.0625,16,381250,0.0,3.0,80.0,114,6,0,77,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 375000, 'low': 200000, 'high': 800000}",15.0,3.2,0.0,114,6
12.05,12,15.0,0.888,3,483,0,3.0,0.0,40.0,549.0,16,381250,0.0,3.0,80.0,120,6,0,86,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 375000, 'low': 200000, 'high': 800000}",15.0,3.0,0.0,120,6
13.05,13,15.0,0.888,3,474,0,3.0,0.0,40.0,562.4,13,306250,0.0,3.0,80.0,124,4,0,100,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 425000, 'low': 200000, 'high': 800000}",15.0,3.0,0.0,124,4
14.05,14,15.0,1.888,2,482,0,3.0,0.0,40.0,557.9333333333333,13,306250,0.0,3.0,80.0,127,3,0,112,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 350000, 'low': 200000, 'high': 800000}",15.0,3.0,0.0,127,3
15.05,15,15.0,1.888,2,495,0,3.0,0.0,40.0,557.9333333333333,13,306250,0.0,3.0,80.0,130,3,0,124,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 350000, 'low': 200000, 'high': 800000}",15.0,3.0,0.0,130,3
16.05,16,15.0,1.888,2,479,0,2.8,6.666666666666667,40.0,557.0714285714286,13,306250,0.0,3.0,80.0,133,3,0,136,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 350000, 'low': 200000, 'high': 800000}",15.0,2.8,6.666666666666667,133,3
17.05,17,15.0,1.888,2,485,0,3.0,0.0,40.0,557.9333333333333,13,306250,0.0,3.0,80.0,136,3,0,148,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 350000, 'low': 200000, 'high': 800000}",15.0,3.0,0.0,136,3
18.05,18,15.0,1.888,2,489,0,3.0,0.0,40.0,557.9333333333333,13,306250,0.0,3.0,80.0,139,3,0,160,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 350000, 'low': 200000, 'high': 800000}",15.0,3.0,0.0,139,3
19.05,19,15.0,0.888,1,0,0,3.0,0.0,40.0,557.9333333333333,13,306250,0.0,3.0,80.0,142,3,0,172,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 350000, 'low': 200000, 'high': 800000}",15.0,3.0,0.0,142,3
20.05,20,15.0,0.0,0,492,0,3.0,0.0,40.0,557.9333333333333,12,281250,0.0,3.0,80.0,145,3,0,184,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 350000, 'low': 200000, 'high': 800000}",15.0,3.0,0.0,145,3
20.45,20,15.0,0.0,0,492,0,3.0,0.0,40.0,557.9333333333333,0,0,0.0,3.0,80.0,145,0,0,190,"{'mode': 'queue_guard', 'reason': 'queue_mid', 'queue_bytes': 350000, 'low': 200000, 'high': 800000}",15.0,3.0,0.0,145,0
